City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Kargasok,100,RU,1603844737,98,59.06,80.86,25.77,13.24
Yulara,0,AU,1603844737,13,-25.24,130.99,80.6,3.36
Ellisras,0,ZA,1603844737,43,-23.66,27.74,71.78,6.2
Albany,100,US,1603844702,76,42.6,-73.97,48.0,5.12
Bredasdorp,100,ZA,1603844738,88,-34.53,20.04,62.6,4.7
Clyde River,20,CA,1603844651,66,70.47,-68.59,12.2,6.93
City of San Pedro,75,PH,1603844738,70,14.35,121.02,86.0,5.82
Tessalit,0,ML,1603844738,18,20.2,1.01,77.65,8.79
Arraial do Cabo,0,BR,1603844738,94,-22.97,-42.03,73.4,13.87
Port Alfred,39,ZA,1603844739,87,-33.59,26.89,63.73,14.34
Mataura,11,NZ,1603844739,60,-46.19,168.86,60.01,1.99
Barrow,75,US,1603844539,80,71.29,-156.79,30.2,21.92
Tongren,96,CN,1603844739,71,27.72,109.19,61.54,5.66
Busselton,14,AU,1603844739,88,-33.65,115.33,61.0,8.25
Carnarvon,0,AU,1603844740,68,-24.87,113.63,71.6,24.16
Atuona,1,PF,1603844740,73,-9.8,-139.03,78.84,19.42
Rikitea,100,PF,1603844740,83,-23.12,-134.97,75.56,16.75
Tuatapere,10,NZ,1603844740,60,-46.13,167.68,60.01,1.99
Pangnirtung,0,CA,1603844741,76,66.15,-65.71,8.49,3.89
Bluff,14,NZ,1603844741,60,-46.6,168.33,60.01,1.99
Straja,90,RO,1603844741,87,47.92,25.55,52.0,9.17
Qaanaaq,94,GL,1603844741,79,77.48,-69.36,10.85,13.49
Upernavik,0,GL,1603844741,78,72.79,-56.15,16.43,5.57
Teya,100,RU,1603844468,95,60.38,92.63,25.7,9.69
Puerto Ayora,99,EC,1603844742,93,-0.74,-90.35,68.0,4.0
Japura,100,ID,1603844742,93,-0.32,102.35,75.25,1.61
Katsuura,75,JP,1603844742,68,35.13,140.3,64.99,4.7
Ushuaia,40,AR,1603844462,39,-54.8,-68.3,46.4,8.05
Punta Arenas,0,CL,1603844743,70,-53.15,-70.92,44.6,17.22
Vaini,20,TO,1603844743,73,-21.2,-175.2,77.0,12.75
Hasaki,75,JP,1603844743,82,35.73,140.83,63.0,4.7
Saskylakh,99,RU,1603844743,92,71.92,114.08,5.88,11.77
Hilo,90,US,1603844744,74,19.73,-155.09,80.6,9.17
Pevek,100,RU,1603844627,97,69.7,170.31,20.44,13.73
Santa Isabel Rio Negro,100,BR,1603844744,90,-0.41,-65.02,77.83,2.95
Southbridge,100,US,1603844744,79,42.08,-72.03,48.0,1.95
Chui,100,UY,1603844744,95,-33.7,-53.46,62.15,14.23
Bathsheba,40,BB,1603844745,83,13.22,-59.52,82.4,16.11
São João da Barra,53,BR,1603844745,90,-21.64,-41.05,74.41,15.59
Yellowknife,75,CA,1603844483,67,62.46,-114.35,17.6,4.7
Hermanus,100,ZA,1603844745,93,-34.42,19.23,61.0,1.01
Kasongo-Lunda,100,CD,1603844745,92,-6.47,16.82,71.24,1.79
Hobart,75,AU,1603844708,71,-42.88,147.33,59.0,10.29
Baruun-Urt,0,MN,1603844746,76,46.68,113.28,27.45,6.96
Pisco,0,PE,1603844692,82,-13.7,-76.22,63.0,19.46
Khatanga,50,RU,1603844746,90,71.97,102.5,-5.46,10.6
Butaritari,100,KI,1603844746,65,3.07,172.79,81.1,3.27
Poum,74,NC,1603844746,73,-20.23,164.02,77.27,13.11
Haines Junction,48,CA,1603844746,93,60.75,-137.51,30.79,2.62
Ponta do Sol,75,PT,1603844747,68,32.67,-17.1,66.2,8.05
Épernay,90,FR,1603844747,93,49.05,3.95,53.6,8.05
Flinders,72,AU,1603844747,74,-34.58,150.86,69.01,3.0
Morgan City,47,US,1603844747,83,29.7,-91.21,80.6,6.93
Ostrovnoy,100,RU,1603844747,91,68.05,39.51,43.41,21.85
Jamestown,90,US,1603844748,100,42.1,-79.24,41.0,1.05
Avarua,100,CK,1603844748,83,-21.21,-159.78,73.4,8.05
Kitimat,100,CA,1603844748,91,54.05,-128.65,50.0,2.8
Kavieng,95,PG,1603844748,65,-2.57,150.8,84.85,2.13
Rørvik,68,NO,1603844748,77,64.86,11.24,44.85,9.86
Mount Isa,0,AU,1603844585,11,-20.73,139.5,80.6,13.87
Lebu,95,CL,1603844749,83,-37.62,-73.65,50.61,11.97
Hithadhoo,99,MV,1603844749,66,-0.6,73.08,83.84,10.85
Cherskiy,100,RU,1603844749,93,68.75,161.3,13.82,8.97
São Félix do Xingu,62,BR,1603844749,78,-6.64,-51.99,77.11,3.09
Itarema,97,BR,1603844749,80,-2.92,-39.92,78.64,12.39
George Town,20,MY,1603844520,94,5.41,100.34,77.0,3.36
Prince Rupert,90,CA,1603844750,93,54.32,-130.32,48.2,2.24
Touros,75,BR,1603844750,83,-5.2,-35.46,78.8,9.17
Ribeira Grande,100,PT,1603844750,60,38.52,-28.7,62.98,3.67
Port Elizabeth,0,ZA,1603844751,82,-33.92,25.57,62.6,19.46
Kudahuvadhoo,65,MV,1603844751,78,2.67,72.89,82.54,15.17
Laguna,1,US,1603844751,18,38.42,-121.42,75.0,4.7
Hong Kong,96,HK,1603844638,71,22.29,114.16,77.0,3.0
Rochegda,100,RU,1603844751,95,62.8,43.25,40.77,8.14
Verkhnyaya Sinyachikha,90,RU,1603844752,93,57.98,61.67,26.56,7.09
Kruisfontein,23,ZA,1603844752,95,-34.0,24.73,57.99,8.59
Dukat,3,RU,1603844752,80,62.55,155.55,14.79,3.44
Port Antonio,20,JM,1603844752,83,18.18,-76.46,82.99,4.7
Monrovia,75,LR,1603844753,94,6.3,-10.8,78.8,8.01
Langsa,88,ID,1603844753,92,4.47,97.97,75.88,2.33
Boa Vista,20,BR,1603844532,49,2.82,-60.67,89.6,4.7
Rio Grande,100,BR,1603844753,99,-32.03,-52.1,63.0,8.99
Kapaa,75,US,1603844753,69,22.08,-159.32,82.4,5.82
Candelaria,89,PH,1603844753,84,13.93,121.42,80.92,3.89
Ziro,0,IN,1603844754,100,27.63,93.83,46.47,2.77
Nikolskoye,90,RU,1603844511,87,59.7,30.79,52.0,8.95
Isangel,26,VU,1603844521,68,-19.55,169.27,79.95,15.3
Port Blair,85,IN,1603844754,79,11.67,92.75,79.57,3.13
Mondovì,31,IT,1603844754,86,44.4,7.82,43.0,4.7
Cape Town,75,ZA,1603844755,87,-33.93,18.42,64.0,10.29
New Norfolk,79,AU,1603844755,65,-42.78,147.06,59.0,3.96
El Estor,74,GT,1603844755,78,15.53,-89.35,80.49,1.59
Praia da Vitória,75,PT,1603844755,72,38.73,-27.07,62.6,5.97
Thompson,75,CA,1603844755,68,55.74,-97.86,24.8,9.17
Naze,40,JP,1603844755,69,28.37,129.48,78.8,11.41
Sola,38,VU,1603844756,77,-13.88,167.55,80.24,17.25
Najrān,0,SA,1603844756,25,17.49,44.13,60.8,4.7
Karratha,60,AU,1603844756,68,-20.74,116.85,76.82,8.01
Marawi,97,PH,1603844756,79,8.0,124.29,82.0,1.92
Quartucciu,20,IT,1603844756,93,39.25,9.18,55.0,4.7
Anamur,40,TR,1603844757,82,36.08,32.84,64.4,2.24
Pochutla,75,MX,1603844757,83,15.74,-96.47,78.01,0.89
Bāfq,0,IR,1603844757,41,31.61,55.41,51.71,1.99
Yagodnoye,33,RU,1603844757,83,62.55,149.67,13.23,2.75
Henties Bay,57,NA,1603844757,87,-22.12,14.28,59.0,1.01
Harar,47,ET,1603844758,38,9.31,42.13,53.33,3.18
Moa,4,CU,1603844758,80,20.66,-74.94,80.65,12.12
Port-Gentil,75,GA,1603844759,88,-0.72,8.78,78.8,6.93
East London,59,ZA,1603844759,77,-33.02,27.91,68.85,19.48
Bara,0,NG,1603844759,32,10.37,10.73,75.72,4.79
Tuktoyaktuk,90,CA,1603844759,92,69.45,-133.04,12.2,12.75
Marfino,0,RU,1603844759,86,55.7,37.38,46.0,8.95
Bethel,75,US,1603844760,57,41.37,-73.41,51.8,2.71
Olafsvik,96,IS,1603844760,71,64.89,-23.71,39.11,17.98
Vostok,100,RU,1603844760,99,46.49,135.88,33.26,1.48
Port Hawkesbury,90,CA,1603844760,86,45.62,-61.35,39.99,14.99
Gweta,6,BW,1603844761,23,-20.18,25.23,79.29,14.43
Sinnamary,64,GF,1603844761,80,5.38,-52.95,80.51,10.49
Leningradskiy,0,RU,1603844761,89,69.38,178.42,18.75,17.81
Rosarito,5,MX,1603844761,24,32.33,-117.03,71.6,14.99
Porto Seguro,75,BR,1603844624,83,-16.45,-39.06,78.8,8.05
Nantucket,75,US,1603844762,81,41.28,-70.1,52.0,6.93
Constitución,7,CL,1603844762,76,-35.33,-72.42,49.62,7.9
Maniitsoq,9,GL,1603844762,87,65.42,-52.9,20.77,7.07
Pitimbu,20,BR,1603844762,78,-7.47,-34.81,78.8,6.93
Dikson,100,RU,1603844763,95,73.51,80.55,7.2,16.51
Bubaque,44,GW,1603844763,81,11.28,-15.83,82.33,11.05
Aykino,100,RU,1603844763,96,62.22,49.99,36.25,9.04
Carutapera,77,BR,1603844738,83,-1.2,-46.02,77.92,6.38
Geraldton,90,AU,1603844764,56,-28.77,114.6,69.8,17.22
Mānsa,0,IN,1603844764,29,29.98,75.38,61.72,1.83
Okhotsk,0,RU,1603844764,82,59.38,143.3,29.53,7.76
Vardø,100,NO,1603844765,93,70.37,31.11,42.51,4.56
Bambous Virieux,3,MU,1603844766,79,-20.34,57.76,70.0,4.0
Saint Paul Harbor,1,US,1603844766,56,57.79,-152.41,44.6,21.92
North Bend,1,US,1603844767,71,43.41,-124.22,55.4,19.46
Florida,1,US,1603844767,78,28.75,-82.5,78.8,5.82
Ugoofaaru,2,MV,1603844767,77,5.67,73.0,82.06,8.88
Cuenca,100,EC,1603844485,87,-2.88,-78.98,57.2,11.41
Mar del Plata,0,AR,1603844518,71,-38.0,-57.56,59.0,8.5
Lumphat,100,KH,1603844771,97,13.49,106.98,69.42,11.95
Lagoa,100,PT,1603844781,61,39.05,-27.98,62.69,7.31
Iqaluit,90,CA,1603844654,73,63.75,-68.51,19.4,8.05
Abu Dhabi,0,AE,1603844806,69,24.47,54.37,75.2,1.12
Dokka,97,NO,1603844821,98,60.84,10.06,42.01,1.79
Ilulissat,71,GL,1603844822,89,69.22,-51.1,7.11,3.0
Nishihara,20,JP,1603844822,65,26.18,127.76,78.8,10.29
Shillong,1,IN,1603844822,97,25.57,91.88,56.44,1.66
Lobito,11,AO,1603844822,84,-12.35,13.55,74.37,7.49
Peleduy,72,RU,1603844822,91,59.63,112.74,12.09,2.42
Ukhta,100,RU,1603844823,97,63.57,53.68,35.76,6.82
Corn Island,100,NI,1603844823,76,12.17,-83.04,83.55,5.57
Saint-Philippe,0,RE,1603844823,64,-21.36,55.77,71.6,2.24
Banda Aceh,94,ID,1603844703,73,5.56,95.32,79.77,12.55
Praia,96,CV,1603844823,83,14.92,-23.51,78.8,14.99
Reconquista,0,AR,1603844824,73,-29.15,-59.65,66.04,6.73
Kumul,0,CN,1603844824,52,42.8,93.45,42.8,8.34
Safford,1,US,1603844824,61,32.83,-109.71,46.4,4.7
Codrington,48,AU,1603844824,75,-38.27,141.97,59.97,5.53
Kangaatsiaq,27,GL,1603844824,93,68.31,-53.46,22.95,9.22
Saldanha,100,ZA,1603844826,87,-33.01,17.94,59.0,2.24
Provideniya,90,RU,1603844826,95,64.38,-173.3,32.0,6.71
Albanel,90,CA,1603844710,68,48.88,-72.45,26.6,4.7
Talnakh,0,RU,1603844826,81,69.49,88.4,-4.56,5.26
Fortuna,1,US,1603844585,54,40.6,-124.16,63.0,11.41
Ranong,99,TH,1603844827,83,9.97,98.63,79.29,6.29
Nuuk,3,GL,1603844581,79,64.18,-51.72,24.01,5.99
Vila Franca do Campo,75,PT,1603844827,59,37.72,-25.43,64.4,2.24
Taltal,17,CL,1603844828,76,-25.4,-70.48,58.41,4.76
Andenes,95,NO,1603844828,69,69.31,16.12,35.6,9.17
Tiksi,18,RU,1603844828,90,71.69,128.87,-2.81,12.71
Jining,96,CN,1603844718,1,35.41,116.58,60.01,5.17
Izoplit,15,RU,1603844829,83,56.63,36.22,44.29,10.69
Waterloo,90,CA,1603844829,93,43.47,-80.52,37.4,4.7
Riyadh,0,SA,1603844829,36,24.69,46.72,62.6,2.64
Lorengau,95,PG,1603844829,63,-2.02,147.27,85.91,1.05
Kungurtug,69,RU,1603844830,80,50.6,97.52,25.77,3.38
Kondagaon,0,IN,1603844830,76,19.6,81.67,61.88,2.48
Gizo Government Station,99,SB,1603844830,69,-8.1,156.84,84.85,4.76
Ballina,75,AU,1603844830,73,-28.87,153.57,73.4,11.41
Puga,78,MX,1603844830,71,21.58,-104.82,75.0,3.38
San Cristobal,87,VE,1603844608,92,7.77,-72.22,68.0,1.36
Varkaus,90,FI,1603844831,100,62.32,27.87,50.0,10.29
Alofi,40,NU,1603844548,69,-19.06,-169.92,78.8,19.46
Waingapu,92,ID,1603844831,64,-9.66,120.26,83.57,8.43
Ulaangom,2,MN,1603844831,91,49.98,92.07,23.29,2.77
Nome,90,US,1603844832,86,64.5,-165.41,34.0,6.93
Şabrātah,2,LY,1603844832,50,32.79,12.49,68.02,9.42
Porto-Novo,40,BJ,1603844832,88,6.5,2.6,80.6,11.41
Faya,0,SA,1603844832,27,18.39,42.45,55.4,4.92
Puerto Asís,75,CO,1603844832,94,0.51,-76.5,77.0,2.24
Kerman,0,IR,1603844833,27,30.28,57.08,39.2,4.7
Mishan,6,CN,1603844833,67,45.55,131.88,39.9,5.99
Tasiilaq,100,GL,1603844833,91,65.61,-37.64,25.65,9.53
San Ramon,1,US,1603844824,11,37.78,-121.98,75.99,6.93
Uyuni,0,BO,1603844796,34,-20.46,-66.83,51.66,21.36
Izhma,100,RU,1603844834,96,65.01,53.91,34.68,7.2
Birjand,0,IR,1603844834,25,32.87,59.22,39.2,6.93
Mount Gambier,18,AU,1603844638,59,-37.83,140.77,62.6,2.24
Chokurdakh,100,RU,1603844648,97,70.63,147.92,12.25,3.24
Locri,40,IT,1603844834,76,38.24,16.26,57.2,16.11
São José da Coroa Grande,63,BR,1603844834,79,-8.9,-35.15,77.36,11.18
Gushikawa,20,JP,1603844835,65,26.35,127.87,78.8,10.29
Obzor,40,BG,1603844835,93,42.82,27.88,60.01,6.93
Saint-Augustin,87,CA,1603844835,89,51.23,-58.65,31.71,4.14
Hambantota,95,LK,1603844835,81,6.12,81.12,78.1,6.26
Noumea,0,NC,1603844835,40,-22.28,166.46,86.0,10.29
Acapulco de Juárez,75,MX,1603844836,79,16.86,-99.89,84.2,4.7
Marabu,20,MY,1603844542,94,4.41,114.01,77.0,3.36
Macenta,72,GN,1603844836,72,8.54,-9.47,70.27,2.77
Mwinilunga,36,ZM,1603844836,86,-11.74,24.43,63.86,0.94
Baykit,100,RU,1603844837,92,61.67,96.37,13.44,12.44
Kautokeino,100,NO,1603844837,96,69.01,23.04,27.41,5.99
Uzunovo,57,RU,1603844837,83,54.54,38.62,40.46,10.33
Tabuk,100,PH,1603844837,80,17.42,121.44,78.73,1.21
Acarí,54,PE,1603844837,67,-15.43,-74.62,66.52,4.18
Vinh Yen,90,VN,1603844838,100,21.31,105.6,73.4,4.7
Zheleznodorozhnyy,47,RU,1603844838,100,55.75,38.0,46.0,6.71
Vila Velha,75,BR,1603844681,88,-20.33,-40.29,77.0,11.41
Bogandé,5,BF,1603844838,17,12.97,-0.14,78.51,5.73
Husavik,90,IS,1603844838,64,66.04,-17.34,37.4,8.05
Cockburn Town,15,TC,1603844729,80,21.46,-71.14,82.49,21.18
Kolondiéba,64,ML,1603844839,43,11.09,-6.89,75.06,0.49
Lavrentiya,100,RU,1603844839,91,65.58,-171.0,30.54,9.86
Neiafu,75,TO,1603844839,74,-18.65,-173.98,78.8,11.41
Kavaratti,89,IN,1603844661,75,10.57,72.64,81.46,6.69
Camacha,75,PT,1603844840,72,33.08,-16.33,66.2,7.76
Igarka,0,RU,1603844840,87,67.47,86.58,-1.05,8.41
Cayenne,0,GF,1603844840,78,4.93,-52.33,82.4,3.36
Buraidah,0,SA,1603844840,28,26.33,43.98,62.6,2.24
Bridlington,17,GB,1603844841,82,54.08,-0.19,45.0,14.0
Harrogate,0,GB,1603844841,87,53.99,-1.54,46.0,8.99
Santa Cruz Cabrália,75,BR,1603844841,83,-16.28,-39.02,78.8,8.05
Le Port,0,RE,1603844841,73,-20.94,55.29,69.8,6.93
Airai,39,TL,1603844841,79,-8.93,125.41,70.07,2.73
Micheweni,1,TZ,1603844841,84,-4.97,39.83,77.38,8.03
Malumfashi,21,NG,1603844842,35,11.79,7.62,70.54,1.92
Campoverde,75,PE,1603844842,66,-8.48,-74.81,87.8,6.93
Oranjemund,26,NA,1603844842,89,-28.55,16.43,56.73,2.86
Evensk,0,RU,1603844842,80,61.95,159.23,27.46,9.93
Esperance,66,AU,1603844622,77,-33.87,121.9,68.0,16.11
Faanui,91,PF,1603844843,82,-16.48,-151.75,79.93,18.72
Vanimo,85,PG,1603844843,61,-2.67,141.3,86.63,1.74
Gurlan,0,UZ,1603844843,73,41.84,60.39,32.0,2.24
Jega,2,NG,1603844843,19,12.22,4.38,77.65,5.21
Oga,20,IT,1603844843,100,46.46,10.35,43.0,2.24
Bandarbeyla,9,SO,1603844844,80,9.49,50.81,74.79,3.36
Dwārka,0,IN,1603844844,62,22.24,68.97,80.11,10.94
Yangi Marg`ilon,98,UZ,1603844844,42,40.43,71.72,50.0,2.24
Jiuquan,71,CN,1603844844,78,39.74,98.52,35.44,4.52
Conchagua,94,SV,1603844844,88,13.31,-87.86,76.08,2.39
